"ID";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163521";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Additional_file_1_of_Epigenetic_adaptations_of_the_masticatory_mucosa_to_periodontal_inflammation/16928628";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/nuccore/MT107888";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://github.com/volkamerlab/cptox21_manuscript_SI/tree/master/data/data_signatures";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/ena/browser/view/PRJEB39814?show=reads";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR12921007";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://www.ebi.ac.uk/ena/browser/view/PRJEB46911?show=reads";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://osf.io/zy7vs";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://doi.org/10.6084/m9.figshare.14527317.v4";"1";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://osf.io/7xc23/";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://doi.org/10.5281/zenodo.4498214";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.17605/OSF.IO/B5296";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"https://doi.org/10.17605/OSF.IO/W3JUH";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"https://figshare.com/articles/dataset/Reporting_assessments_for_sample_of_110_preclinical_systematic_reviews_/14543924";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/This_file_contains_all_raw_data_underlying_the_figures_/17226515";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Numerical_values_underlying_summary_data_displayed_in_figures_/17123529";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://dx.doi.org/10.5281/zenodo.4064148";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ebi.ac.uk/ena/browser/view/PRJEB40670?show=reads";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://itbgit.biologie.hu-berlin.de/dorel/phosphoproteomics_tnb_perturbations/-/blob/master/210113.proteinGroups.filteredNormalz.txt?expanded=true&viewer=simple";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"https://figshare.com/articles/dataset/All_somatic_SNVs_and_small_insertions_deletions_indels_detected_in_the_study_/13513223";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/NSC23766_treatment_of_wild_type_mouse_sperm_/13714335";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Raw_data_of_the_lipidomics_experiments_including_sample_identifiers_/14831532";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Sources_of_the_CNV-case_cohorts_used_in_this_study_/15077835";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/journal_contribution/Data_basis_for_meta-analyses_and_meta-regression_analyses_/16415146";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Data_table_depicting_overall_typing_results_/14311834";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/nuccore/MW383507";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"https://figshare.com/articles/dataset/Dataset_1_/16806162";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://doi.org/10.5281/zenodo.4049178";"1";"1";"1";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Tacrolimus_PK_model_dataset_/13630924";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/Raw_data_/13866240";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://figshare.com/articles/dataset/S1_Data_-/14041848";"0";"1";"1";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166400";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
