"","ID","Gen2_FM_F1B_data","Gen2_FM_F1B_metadata","Gen2_FM_F1A","Gen2_FM_F2B","Gen2_FM_F2A","Gen2_FM_F3_data","Gen2_FM_F3_metadata","Gen2_FM_F4","Gen2_FM_A1.1_data","Gen2_FM_A1.1_metadata","Gen2_FM_A1.2_data","Gen2_FM_A1.2_metadata","Gen2_FM_A2","Gen2_FM_I1B_data","Gen2_FM_I1A_data","Gen2_FM_I1B_metadata","Gen2_FM_I1A_metadata","Gen2_FM_I2B","Gen2_FM_I2A","Gen2_FM_I3","Gen2_FM_R1.1_metadata","Gen2_FM_R1.1_data"
"53","https://figshare.com/articles/dataset/This_file_contains_all_raw_data_underlying_the_figures_/17226515","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"54","https://figshare.com/articles/dataset/Numerical_values_underlying_summary_data_displayed_in_figures_/17123529","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"55","https://dx.doi.org/10.5281/zenodo.4064148","0","1","1","1","1","1","0","0","1","1","1","1","0","0","0","1","1","0","1","1","0","1"
"56","https://www.ebi.ac.uk/ena/browser/view/PRJEB40670?show=reads","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"57","https://itbgit.biologie.hu-berlin.de/dorel/phosphoproteomics_tnb_perturbations/-/blob/master/210113.proteinGroups.filteredNormalz.txt?expanded=true&viewer=simple","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0"
"58","https://figshare.com/articles/dataset/All_somatic_SNVs_and_small_insertions_deletions_indels_detected_in_the_study_/13513223","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"59","https://figshare.com/articles/dataset/NSC23766_treatment_of_wild_type_mouse_sperm_/13714335","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"60","https://figshare.com/articles/dataset/Raw_data_of_the_lipidomics_experiments_including_sample_identifiers_/14831532","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"61","https://figshare.com/articles/dataset/Sources_of_the_CNV-case_cohorts_used_in_this_study_/15077835","0","0","1","1","1","1","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","1"
"62","https://figshare.com/articles/journal_contribution/Data_basis_for_meta-analyses_and_meta-regression_analyses_/16415146","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
